id,intitule,dateCreation,departement,commune,ville,latitude,longitude,entreprise,typeContrat,typeContratLibelle,experienceLibelle,experienceExige,qualificationLibelle,romeCode,romeLibelle,secteurActiviteLibelle,salaire_libelle,competences_structurees,competences_detectees,nb_competences_detectees,sal_periode,sal_min,sal_max,sal_annuel_min,sal_annuel_max,sal_annuel_moyen
3799752,Tech Lead Digital Fullstack H/F,2026-06-16 04:31:27+00:00,75,75056,75 - Paris,,,JEMS,CDI,CDI,Expérience exigée,E,Cadre,M1811,Data engineer,,Annuel de 65000.0 Euros à 90000.0 Euros,,SQL | Java | AWS | Azure | GCP | Git,6,Annuel,65000.0,90000.0,65000.0,90000.0,77500.0
3349592,Administrateur Cloudera & Kubernetes H/F,2026-06-03 04:31:41+00:00,92,92044,92 - Levallois-Perret,48.892818,2.287751,JEMS,CDI,CDI,Expérience exigée,E,Cadre,M1811,Data engineer,,Annuel de 75000.0 Euros à 90000.0 Euros,,Spark | Hadoop | Hive | Databricks | Azure | Kubernetes | Linux,7,Annuel,75000.0,90000.0,75000.0,90000.0,82500.0
210FJKM,Senior Data Scientist (H/F),2026-06-23 15:16:01.961000+00:00,75,,75 - Paris,,,FOODCHERI,CDI,CDI,3 An(s),E,Employé qualifié,M1405,Data scientist,Services des traiteurs,Annuel de 60000.0 Euros à 65000.0 Euros sur 12 mois,Adapter les outils de traitement statistique de données | Définir et faire évoluer des procédés de traitement de l'information,Python | dbt | GCP | BigQuery,4,Annuel,60000.0,65000.0,60000.0,65000.0,62500.0
210FFXM,Data Scientist (H/F),2026-06-23 14:32:39.663000+00:00,75,,75 - Paris (Dept.),,,ASSISTANCE PUBLIQUE HOPITAUX DE PARIS,CDD,CDD - 12 Mois,6 Mois,E,Employé qualifié,M1405,Data scientist,Activités hospitalières,,Adapter les outils de traitement statistique de données | Définir et faire évoluer des procédés de traitement de l'information,Python | R | Spark | NLP,4,,,,,,
209QGPH,Data Scientist Junior pour projet de recherche en psychiatrie (H/F),2026-06-11 14:00:05.196000+00:00,75,75114,75 - PARIS 14,48.832769,2.325738,CENTRE HOSPITALIER SAINTE ANNE,CDD,CDD - 12 Mois,Débutant accepté,D,Employé qualifié,M1405,Data scientist,Activités hospitalières,Annuel de 27660.0 Euros à 32200.0 Euros sur 12.0 mois,Adapter les outils de traitement statistique de données | Définir et faire évoluer des procédés de traitement de l'information,Power BI | NLP,2,Annuel,27660.0,32200.0,27660.0,32200.0,29930.0
209LBHK,Statisticien(ne)  / Data Scientist H/F,2026-06-08 15:25:02.202000+00:00,95,95127,95 - CERGY,49.035743,2.062109,CAISSE PRIMAIRE ASSUR MALADIE VAL D'OISE,CDI,CDI,Débutant accepté - DIPLOME OU EXPERIENCE SIMILAIRE,D,Technicien,M1405,Data scientist,Activités générales de sécurité sociale,Annuel de 36000.00 Euros sur 14 mois,Adapter les outils de traitement statistique de données | Définir et faire évoluer des procédés de traitement de l'information,Python | R | SQL | Data Visualization,4,Annuel,36000.0,36000.0,36000.0,36000.0,36000.0
209KQFT,Data Scientist (H/F),2026-06-08 12:11:44.344000+00:00,91,91692,91 - LES ULIS,48.681416,2.170171,,CDI,CDI,2 An(s),E,Cadre,M1405,Data scientist,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,,,Python | SQL,2,,,,,,
210HBMW,Planificateur Production & Distribution - Ingénieur Bac+5 (H/F),2026-06-24 17:41:33.327000+00:00,94,94034,94 - FRESNES,48.755064,2.321982,JELO,CDI,CDI,12 Mois,E,Cadre,M1405,Data scientist,Services des traiteurs,Annuel de 30000.0 Euros à 37000.0 Euros sur 12 mois,"Langages de programmation informatique | Logiciels de gestion de base de données | Mastère spécialisé expert en sciences des données | Modélisation et simulation | Modélisation statistique | Programmation en Python | Adapter les outils de traitement statistique de données | Analyser des données pour prendre des décisions stratégiques | Analyser et traiter l'information à des fins d'anticipation | Assurer le suivi de la qualité des données | Concevoir des modèles de détection des insights consommateurs | Conduire des travaux d'études et de recherche | Définir et faire évoluer des procédés de traitement de l'information | Définir les solutions de stockage et de structuration des données | Etablir des prévisions, des évaluations, des recommandations, des perspectives | Faire remonter les besoins clients en interne pour adapter l'offre aux enjeux émergents | Gérer des données massives | Lire et interpréter des données et documents techniques, au besoin en anglais | Manager la connaissance | Mettre en place des outils d'aide à la décision | Optimiser des algorithmes, une application informatique et mettre en oeuvre leur développement | Paramétrer un logiciel, un outil, un système numérique | Piloter les étapes d'un projet agile et innovant | Structurer, synthétiser des informations",Python | SQL | Excel,3,Annuel,30000.0,37000.0,30000.0,37000.0,33500.0
209ZNBJ,Chargé de traitement des données et Référent UNESS (H/F),2026-06-19 09:36:49.210000+00:00,75,75112,75 - Paris 12e Arrondissement,48.840813,2.388195,SORBONNE UNIVERSITE,CDD,CDD - 12 Mois,Débutant accepté,D,Employé qualifié,M1405,Data scientist,Enseignement supérieur,,Adapter les outils de traitement statistique de données | Définir et faire évoluer des procédés de traitement de l'information | Capacité à schématiser | Capacité à gérer les situations urgentes | Organisation et rigueur | Capacité rédactionnelle | Organisation / fonctionnement recherche et ens.sup | Réglementation applicable à son domaine d’activité,,0,,,,,,
4361327,Data Scientist Senior (H/F),2026-06-29 11:21:30+00:00,91,91377,91 - Massy,48.730893,2.271256,DGTL Performance,CDI,CDI,5 An(s),E,,M1405,Data scientist,,,,Python | GCP | Machine Learning | Deep Learning | TensorFlow | PyTorch | Kubernetes,7,,,,,,
4361326,Data Scientist Senior (H/F),2026-06-29 11:21:30+00:00,91,91377,91 - Massy,48.730893,2.271256,DGTL Performance,CDI,CDI,5 An(s),E,,M1405,Data scientist,,,,Python | GCP | BigQuery | Looker | Machine Learning | NLP | TensorFlow | PyTorch | scikit-learn | Pandas | NumPy | Git,12,,,,,,
4309383,Data scientist (H/F),2026-06-27 09:30:00+00:00,92,92062,92 - Puteaux,48.884019,2.237979,,CDI,CDI,1 An(s),E,,M1405,Data scientist,,,,Python | SQL | Java | C# | Power BI | Tableau | Machine Learning,7,,,,,,
4294845,Data Scientist  - 6 mois (H/F),2026-06-27 05:00:17+00:00,75,75056,75 - Paris,,,BNP Paribas Mission Handicap ,MIS,Intérim - 36 Mois,Débutant accepté,D,,M1405,Data scientist,Activités des agences de travail temporaire,,,Python | SQL | Elasticsearch | Machine Learning | NLP | PyTorch | Pandas | NumPy | Git,9,,,,,,
4252698,Data Scientist DevOPS F/H (H/F),2026-06-26 03:25:47+00:00,92,92062,92 - Puteaux,50.687977,3.182584,Swiss Life,CDI,CDI,10 An(s),E,,M1405,Data scientist,Autres assurances,,,AWS,1,,,,,,
4231103,Data scientist (H/F),2026-06-25 09:47:46+00:00,92,,92 - Hauts-de-Seine,,,,CDI,CDI,1 An(s),E,,M1405,Data scientist,,,,Databricks | AWS | Azure | GCP | Snowflake,5,,,,,,
4230360,Data scientist (H/F),2026-06-25 09:40:15+00:00,92,,92 - Hauts-de-Seine,,,,CDI,CDI,6 An(s),E,,M1405,Data scientist,,,,Python | Spark | Databricks | AWS | GCP | Machine Learning | Deep Learning | NLP | TensorFlow | PyTorch | scikit-learn,11,,,,,,
4208964,Manager - Lead Data Scientist (H/F),2026-06-25 05:30:51+00:00,92,92050,92 - Nanterre,48.910508,2.220154,,CDI,CDI,0 An(s),E,Technicien,M1405,Data scientist,,,,Python | Spark | Databricks | AWS | GCP | Machine Learning | Deep Learning | NLP | TensorFlow | PyTorch | scikit-learn,11,,,,,,
4208910,Senior Consultant.e - Data Scientist (H/F),2026-06-25 05:30:51+00:00,92,92050,92 - Nanterre,48.910508,2.220154,,CDI,CDI,0 An(s),E,Technicien,M1405,Data scientist,,,,Databricks | AWS | Azure | GCP | Snowflake | Docker | Kubernetes,7,,,,,,
4208624,Ingénieur(e) Data Scientist confirmé(e) - Industrie - Le Plessis Robinson (H/F),2026-06-25 05:00:17+00:00,92,92050,92 - Nanterre,48.910508,2.220154,Forums Talents Handicap,CDI,CDI,Débutant accepté,D,,M1405,Data scientist,,,,Python | AWS | Azure | Machine Learning | Deep Learning,5,,,,,,
4208476,Data Scientist - (H/F),2026-06-25 05:00:15+00:00,75,75056,75 - Paris,,,BNP Paribas Mission Handicap ,MIS,Intérim - 36 Mois,Débutant accepté,D,,M1405,Data scientist,Activités des agences de travail temporaire,,,Python | SQL | Machine Learning,3,,,,,,
4136733,Data scientist (H/F),2026-06-23 10:35:12+00:00,92,92026,92 - Courbevoie,48.898112,2.238533,,CDI,CDI,Débutant accepté,D,,M1405,Data scientist,,,,,0,,,,,,
4120546,Chef de projet Data-Scientist F/H,2026-06-23 04:31:38+00:00,92,92007,92 - Bagneux,48.790045,2.312853,SOM Ligeron,CDI,CDI,Débutant accepté,D,Cadre,F1137,Chargé / Chargée de méthodes BTP,,,,Python | R | Power BI | Machine Learning,4,,,,,,
3998879,Apprentissage : ingénieur data scientist en détection d'anomalies f/h,2026-06-19 08:15:39+00:00,92,92060,92 - Plessis-Robinson,48.782195,2.262246,,CDD,CDD - 24 Mois,Débutant accepté,D,,M1405,Data scientist,,,,Deep Learning,1,,,,,,
3986725,Actuaire / Data Scientist (H/F),2026-06-19 03:01:51+00:00,92,92009,92 - Bois-Colombes,48.922219,2.271903,Abeille assurances,CDI,CDI,Débutant accepté,D,,M1405,Data scientist,,,,Python | R | SQL | SAS | Tableau | Excel | Machine Learning,7,,,,,,
3873447,ALTERNANCE - DATA SCIENTIST - (H/F),2026-06-17 05:00:16+00:00,75,75056,75 - Paris,,,BNP Paribas Mission Handicap ,MIS,Intérim - 36 Mois,Débutant accepté,D,,M1405,Data scientist,Activités des agences de travail temporaire,,,Power BI,1,,,,,,
3866156,Une/Un Data Scientist confirmé(e) h/f,2026-06-16 22:33:16+00:00,75,75112,75 - Paris 12e Arrondissement,48.840813,2.388195,,CDI,CDI,Expérience exigée,E,,M1405,Data scientist,,,,Python | PyTorch,2,,,,,,
3800165,Une/Un Data Scientist (H/F),2026-06-16 04:31:31+00:00,75,75112,75 - Paris 12e Arrondissement,48.840813,2.388195,ARCOM,CDD,CDD - 6 Mois,Expérience exigée,E,Cadre,M1405,Data scientist,,,,Python | PyTorch,2,,,,,,
3800094,Une/Un Data Scientist confirmé(e) (H/F),2026-06-16 04:31:30+00:00,75,75112,75 - Paris 12e Arrondissement,48.840813,2.388195,ARCOM,CDI,CDI,Expérience exigée,E,Cadre,M1405,Data scientist,,,,Python | PyTorch,2,,,,,,
3656419,Lead Data Scientist Senior (GenAI) F/H,2026-06-10 14:34:57+00:00,92,92020,92 - Châtillon,48.799654,2.289749,,CDI,CDI,7 An(s),E,Cadre,M1405,Data scientist,Télécommunications filaires,,,Python | GCP | scikit-learn | Pandas,4,,,,,,
3618876,Data Scientist GCP - H/F,2026-06-10 03:41:39+00:00,92,92012,92 - Boulogne-Billancourt,48.835948,2.240514,,MIS,Intérim - 1 Mois,Débutant accepté,D,,M1405,Data scientist,Activités des agences de placement de main-d'œuvre,,,GCP,1,,,,,,
3443667,Data scientist (H/F),2026-06-04 13:40:49+00:00,95,,95 - Val-d'Oise,,,,CDI,CDI,Débutant accepté,D,,M1405,Data scientist,,Annuel de 50000.0 Euros à 65000.0 Euros,,Machine Learning | NLP,2,Annuel,50000.0,65000.0,50000.0,65000.0,57500.0
3428188,Data Scientist (H/F),2026-06-04 07:39:17+00:00,75,75101,75 - Paris 1er Arrondissement,48.859295,2.345581,Banque de France,CDI,CDI,1 An(s),E,Cadre,M1405,Data scientist,Activités de banque centrale,,,Python | R | SAS,3,,,,,,
3414746,Data Scientist (H/F),2026-06-04 05:00:35+00:00,95,95063,95 - Bezons,48.92779,2.216126,,CDI,CDI,3 An(s),E,,M1405,Data scientist,,,,Machine Learning | NLP,2,,,,,,
4256333,Head of Data Science (H/F),2026-06-26 05:30:57+00:00,92,92050,92 - Nanterre,48.879998,2.207752,,CDI,CDI,0 An(s),E,Technicien,M1405,Data scientist,,,,Machine Learning | Deep Learning,2,,,,,,
4120597,Directeur Data & Intelligence Artificielle (F/H),2026-06-23 04:31:38+00:00,75,75056,75 - Paris,,,NEXTGEN RH,CDI,CDI,Débutant accepté,D,Cadre,M1405,Data scientist,,Annuel de 75000.0 Euros à 90000.0 Euros,,Python | Spark | Machine Learning | Deep Learning | NLP | TensorFlow | Kubernetes,7,Annuel,75000.0,90000.0,75000.0,90000.0,82500.0
3986707,Consultant confirmé - Finance & Data - Neuilly (H/F),2026-06-19 03:01:51+00:00,92,92051,92 - Neuilly-sur-Seine,48.884789,2.269688,Grant Thornton,CDI,CDI,Débutant accepté,D,,M1405,Data scientist,,,,,0,,,,,,
3744173,MOEX Second œuvre - Projets Data Centers (H/F),2026-06-14 11:21:40+00:00,95,95491,95 - Plessis-Bouchard,49.001124,2.234927,,MIS,Intérim - 18 Mois,9 An(s),E,,M1405,Data scientist,Activités des agences de travail temporaire,,,,0,,,,,,
3744163,MOEX Généraliste - Projets Data Centers (H/F),2026-06-14 11:21:40+00:00,95,95491,95 - Plessis-Bouchard,49.001124,2.234927,,MIS,Intérim - 18 Mois,9 An(s),E,,M1405,Data scientist,Activités des agences de travail temporaire,,,,0,,,,,,
3744150,MOEX Second œuvre - Projets Data Centers (H/F),2026-06-14 11:21:40+00:00,95,95491,95 - Plessis-Bouchard,49.001124,2.234927,,CDI,CDI,9 An(s),E,,M1405,Data scientist,,,,,0,,,,,,
3617339,Consultant Senior & Manager en Data consulting - secteur financier (H/F),2026-06-10 03:01:48+00:00,75,75056,75 - Paris,,,EY,CDI,CDI,3 An(s),E,,M1405,Data scientist,,,,Machine Learning | Deep Learning | NLP,3,,,,,,
3648619,Consultant Confirmé en Data Strategy / Data Transformation (H/F),2026-06-10 11:21:40+00:00,75,75101,75 - Paris 1er Arrondissement,,,,CDI,CDI,5 An(s),E,,M1405,Data scientist,,,,,0,,,,,,
3371462,Technicien/Technicienne Data Center (H/F),2026-06-03 11:21:35+00:00,91,91136,91 - Champlan,48.708406,2.273718,,MIS,Intérim - 12 Mois,Débutant accepté,D,,M1405,Data scientist,Activités des agences de travail temporaire,,,,0,,,,,,
3371259,Technicien Data Center (H/F),2026-06-03 11:21:32+00:00,92,92036,92 - Gennevilliers,48.925389,2.293344,,MIS,Intérim - 18 Mois,1 An(s),E,,M1405,Data scientist,Activités des agences de travail temporaire,,,,0,,,,,,
3895955,Assistant chef de projet IA et Automatisation Doc (F/H) - Stage (H/F),2026-06-17 10:54:39+00:00,92,92050,92 - Nanterre,48.896069,2.206713,AXA France,CDD,CDD - 6 Mois,1 An(s),E,,M1405,Data scientist,Autres assurances,,,Power BI | Excel,2,,,,,,
4229483,Expert Oracle (H/F),2026-06-25 09:33:50+00:00,75,75109,75 - Paris 9e Arrondissement,48.872479,2.341194,,LIB,Profession libérale,1 An(s),E,,M1405,Data scientist,,,,Oracle,1,,,,,,
