id,intitule,dateCreation,departement,commune,ville,latitude,longitude,entreprise,typeContrat,typeContratLibelle,experienceLibelle,experienceExige,qualificationLibelle,romeCode,romeLibelle,secteurActiviteLibelle,salaire_libelle,competences_structurees,competences_detectees,nb_competences_detectees,sal_periode,sal_min,sal_max,sal_annuel_min,sal_annuel_max,sal_annuel_moyen
3871548,Analytics engineer H/F,2026-06-17 04:31:32+00:00,92,92044,92 - Levallois-Perret,48.892818,2.287751,JEMS,CDI,CDI,Expérience exigée,E,Cadre,M1419,Data analyst,,Annuel de 45000.0 Euros à 60000.0 Euros,,SQL | dbt | Snowflake | Data Visualization,4,Annuel,45000.0,60000.0,45000.0,60000.0,52500.0
3866178,Business Analyst ERP H/F,2026-06-16 23:01:04+00:00,75,75102,75 - Paris 2e Arrondissement,,,,CDI,CDI,Débutant accepté,D,,M1419,Data analyst,Conseil pour les affaires et autres conseils de gestion,Annuel de 40000.0 Euros à 50000.0 Euros,,Python | SQL,2,Annuel,40000.0,50000.0,40000.0,50000.0,45000.0
3648183,Administration fonctionnel / Business analyst SI (H/F),2026-06-10 11:21:38+00:00,92,92050,92 - Nanterre,48.910508,2.220154,,CDI,CDI,2 An(s),E,,M1419,Data analyst,,,,Hive,1,,,,,,
3486984,Alternance Business Analyst Performance et Pilotage - Puteaux (F/H) (H/F),2026-06-05 09:46:35+00:00,92,92062,92 - Puteaux,48.884019,2.237979,,CDD,CDD - 12 Mois,Débutant accepté,D,,G1211,Analyste de la performance sportive,,,,,0,,,,,,
3427443,ASSISTANT DATA ANALYTICS (F/H) - EN ALTERNANCE (H/F),2026-06-04 07:37:03+00:00,92,92049,92 - Montrouge,48.815304,2.316489,Groupe TDF,CDD,CDD - 24 Mois,Débutant accepté,D,,M1419,Data analyst,Construction de réseaux électriques et de télécommunications,,,Python | R | SQL | PostgreSQL | Airflow | dbt | Snowflake | Power BI | Git,9,,,,,,
4110563,Analyste moteurs (H/F),2026-06-23 01:02:05+00:00,95,95277,95 - Gonesse,48.98631,2.449911,STANDARDAERO FRANCE,CDI,CDI,Débutant accepté,D,,M1419,Data analyst,,Annuel de 35000.0 Euros à 45000.0 Euros sur 12.0 mois,,Excel,1,Annuel,35000.0,45000.0,35000.0,45000.0,40000.0
3916528,Analyste - Corporate Finance H/F,2026-06-17 20:28:55+00:00,75,75116,75 - Paris 16e Arrondissement,48.86363,2.27642,ZADIENT Technologies SAS,CDI,CDI,3 An(s),E,,M1419,Data analyst,Fabrication de composants électroniques,,,,0,,,,,,
3618294,"V.I.E  Analyste de la performance B2B, Management transversal & Optimisation des stocks (F/H) - Espagne - MASSY (H/F)",2026-06-10 03:31:12+00:00,91,91377,91 - Massy,48.730893,2.271256,,CDI,CDI,Débutant accepté,D,,G1211,Analyste de la performance sportive,,,,R,1,,,,,,
210KNBC,Data engineer (H/F),2026-06-26 16:48:29.025000+00:00,92,92062,92 - PUTEAUX,48.884019,2.237979,INVIVOO,CDI,CDI,5 An(s),E,Cadre,M1811,Data engineer,Conseil en systèmes et logiciels informatiques,Annuel de 50000.0 Euros à 60000.0 Euros sur 12 mois,"Analyser, exploiter, structurer des données",Spark | Databricks,2,Annuel,50000.0,60000.0,50000.0,60000.0,55000.0
210FJSC,DATA engineer (H/F),2026-06-23 15:20:55.527000+00:00,75,,75 - Paris,,,LBESOFT,CDI,CDI,4 An(s),E,Cadre,M1811,Data engineer,Conseil en systèmes et logiciels informatiques,Annuel de 40000.0 Euros à 55000.0 Euros sur 12 mois,"Analyser, exploiter, structurer des données",Python | SQL | PostgreSQL | MongoDB | Elasticsearch | Spark | Kafka | Airflow | dbt | ETL | Databricks | AWS | Azure | GCP | Snowflake | BigQuery | Docker | Kubernetes | Git,19,Annuel,40000.0,55000.0,40000.0,55000.0,47500.0
209XBXK,Data Engineer (H/F),2026-06-17 11:55:15.351000+00:00,93,93051,93 - Noisy-le-Grand,48.83049,2.566899,E-KENT,CDI,CDI,3 Mois,E,Technicien,M1811,Data engineer,Conseil en systèmes et logiciels informatiques,Annuel de 50000.0 Euros à 55000.0 Euros sur 12 mois,"Analyser, exploiter, structurer des données",Python | Databricks | Pandas | NumPy,4,Annuel,50000.0,55000.0,50000.0,55000.0,52500.0
209WXPY,"DCEO Chief Engineer, Data Center Engineering Operations H/F",2026-06-17 10:59:24.696000+00:00,93,93066,93 - Saint-Denis,48.908581,2.358962,AMAZON DATA SERVICES FRANCE SAS,CDI,CDI,2 An(s),E,Employé qualifié,M1802,Expert / Experte systèmes et réseaux informatiques,Gestion d'installations informatiques,,"Concevoir un logiciel, un système d'informations, une application | Evaluer le résultat de ses actions | Concevoir et gérer un projet",,0,,,,,,
209WWVQ,"DCEO Engineer, Data Center Engineering Operations H/F",2026-06-17 10:45:21.306000+00:00,95,95018,95 - Argenteuil,48.947746,2.248868,AMAZON DATA SERVICES FRANCE SAS,CDI,CDI,7 An(s),E,Employé qualifié,M1802,Expert / Experte systèmes et réseaux informatiques,Gestion d'installations informatiques,,"Concevoir un logiciel, un système d'informations, une application | Evaluer le résultat de ses actions | Concevoir et gérer un projet",,0,,,,,,
209NMRK,Data Engineer Senior (H/F) CDI,2026-06-10 10:22:32.008000+00:00,75,,75 - Paris (Dept.),,,THOM,CDI,CDI,2 An(s),E,Agent de maîtrise,M1811,Data engineer,Gestion de fonds,,"Mastère spécialisé expert big data engineer | Analyser, exploiter, structurer des données",SQL | dbt | Snowflake | Power BI,4,,,,,,
209HFHP,Data Engineer GCP (H/F),2026-06-04 17:39:07.291000+00:00,,,Ile-de-France,,,ALTEN SYSTEMES D'INFORMATION ET RESEAUX,CDI,CDI,3 An(s),E,Cadre,M1811,Data engineer,Conseil en systèmes et logiciels informatiques,,,Python | SQL | Airflow | ETL | GCP | BigQuery,6,,,,,,
210KMYJ,Hardware Verification Engineer H/F (H/F),2026-06-26 16:46:51.933000+00:00,78,78423,78 - Montigny-le-Bretonneux,48.781965,2.0452,,CDI,CDI,Débutant accepté,D,Cadre,M1811,Data engineer,Fabrication de composants électroniques,Annuel de 40000.0 Euros à 440000.0 Euros sur 12.0 mois,"Maîtrise d'un outil de gestion de flux (Kafka, Flink…)",Python | C++ | Kafka,3,Annuel,40000.0,440000.0,40000.0,440000.0,240000.0
210KMXZ,Hardware Verification Engineer H/F (H/F),2026-06-26 16:46:33.102000+00:00,78,78423,78 - Montigny-le-Bretonneux,48.781965,2.0452,,CDI,CDI,Débutant accepté,D,Cadre,M1811,Data engineer,Fabrication de composants électroniques,Annuel de 40000.0 Euros à 440000.0 Euros sur 12.0 mois,"Maîtrise d'un outil de gestion de flux (Kafka, Flink…)",Python | C++ | Kafka,3,Annuel,40000.0,440000.0,40000.0,440000.0,240000.0
210JKNT,Développeur / Développeuse Big Data (H/F),2026-06-25 18:20:14.203000+00:00,93,93045,93 - LES LILAS,48.879365,2.415862,AUBER TECH,CDI,CDI,Débutant accepté,D,Cadre,M1811,Data engineer,Conseil en systèmes et logiciels informatiques,Mensuel de 32000.0 Euros à 50000.0 Euros sur 12.0 mois,,,0,Mensuel,32000.0,50000.0,384000.0,600000.0,492000.0
210DXNQ,DATA MANAGER RECHERCHE CLINIQUE (H/F),2026-06-23 11:43:13.324000+00:00,75,75108,75 - Paris 8e Arrondissement,48.877495,2.317589,,CDI,CDI,Débutant accepté,D,Cadre,M1811,Data engineer,"Activités spécialisées, scientifiques et techniques diverses",Annuel de 35000.0 Euros à 37000.0 Euros sur 12 mois,"Anglais technique | Analyser, exploiter, structurer des données | Accompagner l'appropriation d'un outil par ses utilisateurs | Apporter une assistance technique aux équipes | Expliquer et faire respecter les règles et procédures | Modéliser une base de données | Rendre compte de son activité | Surveiller le fonctionnement d'applicatifs et logiciels | Utiliser l'anglais dans un contexte professionnel",SAS,1,Annuel,35000.0,37000.0,35000.0,37000.0,36000.0
209SPGN,Alternant.e DATA Ingénieur (H/F),2026-06-15 10:17:13.814000+00:00,78,78361,78 - MANTES LA JOLIE,48.998499,1.685481,LES RESIDENCES SOCIETE ANONYME D'HABITAT,CDD,CDD - 24 Mois,Débutant accepté,D,Employé qualifié,M1811,Data engineer,Location de logements,,,Python | SQL | Snowflake | Git,4,,,,,,
209MLDS,INGÉNIEUR PÉDAGOGIQUE IT ET DATA - PARIS LA DÉFENSE H/F (H/F),2026-06-09 13:54:00.566000+00:00,92,92062,92 - PUTEAUX,48.884019,2.237979,ORSYS,CDI,CDI,10 An(s),E,Cadre,M1811,Data engineer,Formation continue d'adultes,Annuel de 44000.0 Euros à 46000.0 Euros sur 12.0 mois,"Data engineer | Analyser, exploiter, structurer des données",,0,Annuel,44000.0,46000.0,44000.0,46000.0,45000.0
209JXVK,Ingénieur.e de recherche en Data Science (H/F),2026-06-06 11:40:13.880000+00:00,93,93001,93 - Aubervilliers,48.914557,2.381792,COMPAGNIE DE SAINT-GOBAIN,CDI,CDI,2 An(s),E,Cadre,M1811,Data engineer,Activités des sièges sociaux,Annuel de 46500.0 Euros à 55000.0 Euros sur 12.0 mois,"Data engineer | Analyser, exploiter, structurer des données",Machine Learning,1,Annuel,46500.0,55000.0,46500.0,55000.0,50750.0
209JCYL,Ingénieur Data & IA (H/F),2026-06-05 14:10:05.727000+00:00,75,75108,75 - PARIS,48.877495,2.317589,,CDI,CDI,12 Mois,E,Employé qualifié,M1811,Data engineer,Autres intermédiations monétaires,Mensuel de 3750.0 Euros sur 12 mois,"Maîtrise d'un outil de gestion de flux (Kafka, Flink…) | Analyser, exploiter, structurer des données | Bonne connaissance des architectures IA Générative | Maîtrise du développement de pipelines ETL/ELT  | Gestion de bases de données non relationnelles  | Expérience en déploiement d'applications web  | Gestion de bases de données relationnelles  | Notions de sécurité des données et conformité",Kafka | ETL,2,Mensuel,3750.0,3750.0,45000.0,45000.0,45000.0
209KYBM,Ingénieur Chef de Projet Données - PEPR SolsVivants (H/F),2026-06-08 14:51:59.029000+00:00,75,75105,75 - Paris 5e Arrondissement,48.846127,2.344508,SORBONNE UNIVERSITE,CDD,CDD - 36 Mois,Débutant accepté,D,Employé qualifié,M1811,Data engineer,Enseignement supérieur,,"Analyser, exploiter, structurer des données | Darwin Core, ENVO, GBIF, Data Terra, etc. | Analyse de données scientifiques | Langage de programmation scientifique (R ou Python | Maîtrise des principes FAIR et science ouverte | Enjeux liés aux données écologiques, taxonomiques, | Maîtrise outils collaboratifs et gestion version | Notions de bases de données relationnelles, APIs | Maîtrise anglais scientifique et technique (B2)",Python | R,2,,,,,,
209FNGH,Expert référent en données Œuvres (H/F),2026-06-03 16:38:23.331000+00:00,75,75113,75 - PARIS 13,48.832653,2.35548,BIBLIOTHEQUE NATIONALE DE FRANCE,CDD,CDD - 36 Mois,7 An(s),E,Cadre,M1811,Data engineer,Gestion des bibliothèques et des archives,Annuel de 32856.0 Euros à 58411.0 Euros sur 12.0 mois,"Analyser, exploiter, structurer des données",,0,Annuel,32856.0,58411.0,32856.0,58411.0,45634.0
209FNCT,Chef du service Ingénierie des métadonnées (H/F),2026-06-03 16:36:08.739000+00:00,75,75113,75 - PARIS 13,48.832653,2.35548,BIBLIOTHEQUE NATIONALE DE FRANCE,CDD,CDD - 36 Mois,6 An(s),E,Cadre,M1811,Data engineer,Gestion des bibliothèques et des archives,Annuel de 37724.0 Euros à 74231.0 Euros sur 12.0 mois,"Analyser, exploiter, structurer des données",,0,Annuel,37724.0,74231.0,37724.0,74231.0,55978.0
4331024,Alternance Data Engineer - Paris (F/H) (H/F),2026-06-27 18:40:31+00:00,75,75056,75 - Paris,,,,CDD,CDD - 12 Mois,Débutant accepté,D,,M1811,Data engineer,,,,Python | SQL | Airflow,3,,,,,,
4256564,Alternant Data Engineer (H/F),2026-06-26 05:30:59+00:00,92,92050,92 - Nanterre,48.879998,2.207752,,CDD,CDD - 12 Mois,0 An(s),E,Technicien,M1811,Data engineer,,,,Python | SQL | Scala | Spark | Databricks | Azure | Power BI,7,,,,,,
4256178,Alternance - DATA Engineer F/H,2026-06-26 05:30:56+00:00,92,92050,92 - Nanterre,48.879998,2.207752,,CDI,CDI,0 An(s),E,Manœuvre,M1811,Data engineer,,,,Python | SQL | NoSQL | Airflow | ETL | Docker | Git | Linux,8,,,,,,
4255398,Alternant Data Engineer (H/F),2026-06-26 05:00:26+00:00,92,92050,92 - Nanterre,48.897361,2.195135,Forums Talents Handicap,MIS,Intérim - 3 Mois,Débutant accepté,D,,M1811,Data engineer,Activités des agences de travail temporaire,,,Python | SQL | Scala | Spark | Databricks | Azure | Power BI,7,,,,,,
4255324,Data Engineer (Databricks /Azure) (H/F),2026-06-26 05:00:24+00:00,92,92050,92 - Nanterre,48.897361,2.195135,Forums Talents Handicap,CDI,CDI,Débutant accepté,D,,M1811,Data engineer,,,,Python | SQL | Scala | Spark | Databricks | Azure,6,,,,,,
4248353,Maison Options - Big data engineer (H/F),2026-06-25 21:21:24+00:00,78,78440,78 - Mureaux,48.993303,1.909275,Maison Options,CDI,CDI,5 An(s),E,,M1811,Data engineer,Location et location-bail d'autres biens personnels et domestiques,,,Python | SQL | NoSQL | ETL | Machine Learning | Data Visualization,6,,,,,,
4208970,Consultant·e Data et AI Engineer – Jeune diplômé·e (H/F),2026-06-25 05:30:51+00:00,92,92050,92 - Nanterre,48.910508,2.220154,,CDI,CDI,0 An(s),E,Technicien,M1811,Data engineer,,,,Python | Spark | Kafka | Airflow | AWS | Azure | Machine Learning,7,,,,,,
4208962,Senior Consultant.e - Data & AI engineer (H/F),2026-06-25 05:30:51+00:00,92,92050,92 - Nanterre,48.910508,2.220154,,CDI,CDI,0 An(s),E,Technicien,M1811,Data engineer,,,,Python | SQL | Spark | Databricks | AWS | Azure | GCP | Snowflake | Docker | Kubernetes,10,,,,,,
